coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
2311921,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:f816b9c8-3157-4e8a-853b-41682702bb1a,"2015-03-17 14:45:47"
2311910,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:3133145f-2999-4456-81ee-ea46b99c4961,"2015-03-17 14:46:13"
2311916,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:861ac5a8-78c7-47f5-b6c8-b3d7d6e01fe5,"2015-03-17 14:46:38"
2311941,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:f4c80fd0-31de-4c1e-a6ec-85c37d1c3314,"2015-03-17 14:47:01"
2311946,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:a2805688-dcbd-4d25-a0b7-a354f43d286e,"2015-03-17 14:47:57"
2311955,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:881416a6-211f-4f36-9f7d-e5dd36560e2f,"2015-03-17 14:48:19"
2311940,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:7bc9cf30-6fa8-49d0-ac93-0832fcab1f3c,"2015-03-17 14:48:43"
2311971,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:79df0e57-14ce-4a87-b4c7-117f98fb1364,"2015-03-17 14:49:04"
2311912,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:483373b3-34cb-46b9-9aaf-0af5bf9d330f,"2015-03-17 14:49:25"
2311961,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:dfbf6e18-747e-4d76-9fa0-26fc56a27e26,"2015-03-17 14:49:55"
2311942,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:640c3dae-5537-44e9-a4cd-6a980bd8126d,"2015-03-17 14:50:23"
2311970,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:c5493e8f-ef0d-40f7-be74-10ed307b8968,"2015-03-17 14:50:46"
2311913,"D. E. Desjardin",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:f213c133-91d9-4fea-b4bb-016aacedf47b,"2015-03-17 14:58:55"
2311980,"D. E. Desjardin",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:8c05c056-486a-4061-9189-17e1e70ab209,"2015-03-17 15:00:30"
2311962,"D. E. Desjardin",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:01f8ef9d-751e-4afe-af97-7479c973c39a,"2015-03-17 15:00:57"
2311931,"D. Largent",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:1ad866af-115a-4211-8f5e-6dc98fd17e8b,"2015-03-17 15:02:09"
2311945,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:84df2056-d7cc-4c8f-b497-e49ee7500597,"2015-03-17 15:03:16"
2311967,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:5f92ee26-8729-4b71-bef4-959985f3efd8,"2015-03-17 15:04:31"
2311954,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:c70f2a8a-e932-40ea-9bce-4e319196d05c,"2015-03-17 15:05:31"
2311909,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:625d05a6-40b7-4b9f-8007-649c755f3952,"2015-03-17 15:06:14"
2311915,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:73bf8303-a02b-4040-a185-3763a679b466,"2015-03-17 15:07:00"
